PriceNow,PriceOriginal,Guarantee,Country,Series,OS,windows,CoresNumber,ProcessorModel,Processor,ProcessorType,ProcessorFrequency,GpuManufacturer,GpuController,GpuCapacity,ScreenSize,Diagonal,ScreenFrequency,SsdSize,RAM,RAM_type,HDMI,Material,Battery,Weight

54 999 ₽,69 999,1 год,Китай,GAMING,не установлена,не установлена,6,11260H,Intel Core i5 11260H 2.6 ГГц,Core i5,2.6 ГГц,NVIDIA,GeForce GTX 1650 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.15 кг
80 999 ₽,99 999,1 год,Китай,MacBook Air,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.29 кг
58 999 ₽,62 999,1 год,Китай,Matebook D 15,Windows 11 Домашняя,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.63 кг
39 999 ₽,59 999,1 год,Китай,V15 G2 ITL,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.7 кг
46 999 ₽,56 999,1 год,Китай,Matebook D,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,металл,nan,1.38 кг
42 999 ₽,44 999,1 год,Китай,Matebook D 15,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,металл,до 7 часов,1.63 кг
52 999 ₽,54 999,1 год,Китай,Matebook D 15,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,металл,до 6 часов,1.56 кг
73 999 ₽,86 999,1 год,Китай,Matebook D 16,Windows 11 Домашняя 64,установлена,14,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/1920x1200 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.71 кг
69 999 ₽,76 999,1 год,Китай,Matebook D,Windows 11 Домашняя,установлена,12,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/1920x1200 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,металл,nan,1.71 кг
101 999 ₽,139 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг
80 999 ₽,99 999,1 год,Китай,MacBook Air,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.29 кг
104 999 ₽,114 999,1 год,Китай,Matebook 16S,Windows 11 Домашняя,установлена,14,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/2520x1680 пикс.",nan,1 ТБ,16 ГБ,LPDDR5,1 шт,металл,до 7 часов,1.99 кг
nan,39 999 ₽,1 год,Китай,RedmiBook 15,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.8 кг
29 999 ₽,34 999,1 год,Китай,nan,Windows 10 Домашняя S-режим,установлена,nan,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,128 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 5 часов,1.55 кг
107 999 ₽,139 999,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг
154 999 ₽,199 999,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг
52 999 ₽,54 999,1 год,Китай,Matebook D 15,Windows 11 Домашняя,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,металл,до 7 часов,1.63 кг
64 999 ₽,69 999,1 год,Китай,IdeaPad Gaming 3 15IHU6,Windows 11 Домашняя 64,установлена,4,11300H,Intel Core i5 11300H 3.1 ГГц,Core i5,3.1 ГГц,NVIDIA,GeForce GTX 1650 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",120 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 8 часов,2.25 кг
36 999 ₽,41 999,1 год,Китай,Aspire 3,Windows 11 Домашняя 64,установлена,4,nan,,nan,nan,Intel,UHD Graphics 605,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.9 кг
42 999 ₽,44 999,1 год,Китай,Matebook D 14,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel Iris Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,металл,до 7 часов,1.38 кг
109 999 ₽,124 999,1 год,Китай,GAMING,Windows 11 Pro 64,установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,ABS-пластик,до 5 часов,2.5 кг
38 999 ₽,51 999,1 год,Китай,IdeaPad 3,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,AMD,Radeon Vega 8,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 12 часов,1.6 кг
79 999 ₽,89 999,1 год,Китай,GAMING,не установлена,не установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce RTX 3050 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,ABS-пластик,до 7 часов,2.15 кг
17 999 ₽,24 999,1 год,Китай,IdeaPad 3 15IGL05,не установлена,не установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 14 часов,1.7 кг
17 999 ₽,24 999,1 год,Китай,240 G7,Windows 10 Pro,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1366x768 пикс.",60 Гц,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 12 часов,1.52 кг
18 999 ₽,21 999,1 год,Китай,NB,Windows 10 Pro,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,nan,1 шт,пластик,до 5 часов,1.570 кг
nan,104 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг
119 999 ₽,131 999,1 год,Китай,Matebook X Pro,Windows 11,установлена,12,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14.2""(36.1 см)","14.2""/3120x2080 пикс.",90 Гц,1 ТБ,16 ГБ,LPDDR5,nan,магниевый сплав,до 8 часов,1.26 кг
19 999 ₽,25 999,1 год,Китай,EVE,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"15.5""(39.3 см)","15.5""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 8 часов,1.25 кг
nan,68 999 ₽,1 год,Китай,Matebook 14,Windows 11,установлена,6,nan,,nan,nan,AMD,Radeon Vega,nan,"14""(35.5 см)","14""/2160x1440 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.49 кг
154 999 ₽,199 999,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг
49 999 ₽,54 999,1 год,Китай,HP Notebook 15,Windows 11 Домашняя S-режим,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,12 ГБ,DDR4,1 шт,пластик/ алюминий,до 9 часов,1.7 кг
54 999 ₽,59 899,1 год,Китай,MagicBook X 14,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 13 часов,nan
109 999 ₽,139 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.24 кг
79 999 ₽,89 999,1 год,Китай,MagicBook 16,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"16.1""(40.9 см)","16.1""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 8 часов,1.84 кг
54 999 ₽,59 999,1 год,Китай,MagicBook X15,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 7 часов,1.56 кг
21 999 ₽,24 999,1 год,Китай,IdeaPad 3 15IGL05,не установлена,не установлена,2,nan,,nan,nan,Intel,UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,DDR4,1 шт,пластик,до 14 часов,1.7 кг
nan,35 999 ₽,1 год,Китай,NBC,Windows 11 Pro,установлена,2,nan,,nan,nan,AMD,Radeon Vega 3,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,металл/ пластик,до 5 часов,1.65 кг
96 999 ₽,105 999,1 год,Китай,Matebook 16S,Windows 11 Домашняя,установлена,14,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"16""(40.6 см)","16""/2520x1680 пикс.",nan,1 ТБ,16 ГБ,LPDDR5,1 шт,металл,до 7 часов,1.99 кг
109 999 ₽,139 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг
19 999 ₽,25 999,1 год,Китай,nan,Windows 10,установлена,4,nan,,nan,nan,Intel,Intel HD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,nan,4 ГБ,SDRAM,1 шт,пластик,до 4 ч 30 мин,1.57 кг
94 999 ₽,106 999,1 год,Китай,Matebook 14S,Windows 11 Домашняя,установлена,14,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/2520x1680 пикс.",nan,1 ТБ,16 ГБ,LPDDR4X,1 шт,металл,до 9 часов,1.43 кг
70 999 ₽,77 999,1 год,Китай,Matebook 14,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14""(35.5 см)","14""/2160x1440 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,металл,до 7 часов,1.49 кг
89 999 ₽,109 999,1 год,Китай,KD-52EE123SD,не установлена,не установлена,6,11400H,Intel Core i5 11400H 2.7 ГГц,Core i5,2.7 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 5 часов,2.18 кг
33 999 ₽,37 999,1 год,Китай,Spin 1,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 9 часов,1.5 кг
107 999 ₽,117 999,1 год,Китай,Matebook X Pro,Windows 11,установлена,12,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"14.2""(36.1 см)","14.2""/3120x2080 пикс.",90 Гц,1 ТБ,16 ГБ,LPDDR5,nan,алюминиевый сплав,до 8 часов,1.38 кг
59 999 ₽,74 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 5 часов,1.6 кг
nan,15 999 ₽,1 год,Китай,nan,Windows 10,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"11.6""(29.4 см)","11.6""/1366x768 пикс.",nan,nan,4 ГБ,LPDDR3,1 шт,пластик,до 5 часов,1 кг
71 999 ₽,79 999,1 год,Китай,MagicBook 15,Windows 10 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 11 ч 30 мин,1.54 кг
34 999 ₽,49 999,1 год,Китай,nan,Windows 11 Домашняя S-режим,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 5 ч 30 мин,1.7 кг
62 999 ₽,69 999,1 год,Китай,MagicBook X 15,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,16 ГБ,DDR4,1 шт,алюминиевый сплав,до 7 часов,nan
nan,49 999 ₽,1 год,Китай,RedmiBook 15,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 9 часов,1.8 кг
59 999 ₽,69 999,1 год,Китай,nan,Windows 10 Домашняя 64,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"17.3""(43.9 см)","17.3""/1600x900 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 5 часов,2.1 кг
47 999 ₽,57 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.8 кг
31 999 ₽,39 999,1 год,Китай,Swift 1,Windows 10 Домашняя,установлена,4,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,256 ГБ,4 ГБ,LPDDR4X,1 шт,пластик,до 15 часов,1.3 кг
47 999 ₽,52 999,1 год,Китай,MagicBook X15,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,алюминиевый сплав,до 7 часов,1.56 кг
139 999 ₽,149 999,1 год,Китай,GAMING,Windows 11 Pro 64,установлена,8,5800H,AMD Ryzen 7 5800H 3.2 ГГц,Ryzen 7,3.2 ГГц,NVIDIA,GeForce RTX 3070 8GB,8 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,2.2 кг
109 999 ₽,124 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,nan,1.24 кг
15 999 ₽,19 999,1 год,Китай,nan,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"14""(35.5 см)","14""/1366x768 пикс.",nan,nan,4 ГБ,LPDDR4,1 шт,пластик,до 4 часов,1.273 кг
42 999 ₽,47 999,1 год,Китай,Aspire 3 A315,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 8 часов,1.9 кг
nan,21 999 ₽,1 год,Китай,URBAN,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.5 кг
29 999 ₽,36 999,1 год,Китай,IdeaPad,Windows 10,установлена,2,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,256 ГБ,4 ГБ,DDR4,1 шт,пластик,до 4 ч 30 мин,1.6 кг
25 999 ₽,29 999,1 год,Китай,IdeaPad 1 14IGL05,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(37 см)","14""/1920x1080 пикс.",nan,128 ГБ,4 ГБ,DDR4,1 шт,пластик,до 5 часов,1.4 кг
9 999 ₽,13 999,1 год,Китай,EVE,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel HD Graphics 500,nan,"11.6""(29.4 см)","11.6""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 7 часов,1.07 кг
69 999 ₽,74 999,1 год,Китай,GAMING,Windows 11 Домашняя,установлена,6,11400H,Intel Core i5 11400H 2.2 ГГц,Core i5,2.2 ГГц,NVIDIA,GeForce GTX 1650 4GB Max-Q,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.85 кг
nan,104 999 ₽,1 год,Китай,GAMING,Windows 11 Pro 64,установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,ABS-пластик,до 5 часов,2.5 кг
29 999 ₽,34 999,1 год,Китай,Aspire 3,не установлена,не установлена,4,nan,,nan,nan,Intel,UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.9 кг
36 999 ₽,49 999,1 год,Китай,nan,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.6 кг
39 999 ₽,59 999,1 год,Китай,V15 G2 ALC,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 7 часов,1.7 кг
nan,17 999 ₽,1 год,Китай,EVE,Windows 10 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"11.6""(29.4 см)","11.6""/1366x768 пикс.",60 Гц,nan,4 ГБ,DDR3,1 шт,пластик,до 8 часов,1.06 кг
nan,27 999 ₽,1 год,Китай,URBAN,Windows 11 Домашняя,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",60 Гц,128 ГБ,4 ГБ,DDR4,1 шт,пластик/ металл,до 5 часов,1.65 кг
144 999 ₽,159 999,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 17 часов,1.64 кг
64 999 ₽,74 999,1 год,Китай,Swift 3,Windows 11 Домашняя 64,установлена,6,nan,,nan,nan,AMD,Radeon Graphics,nan,"14""(35.5 см)","14""/1920x1080 пикс.",nan,512 ГБ,16 ГБ,LPDDR4X,1 шт,алюминий,до 12 часов,1.2 кг
39 999 ₽,47 999,1 год,Китай,IdeaPad 3,Windows 10 Домашняя,установлена,4,nan,,nan,nan,AMD,Radeon Vega 8,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 5 часов,1.6 кг
nan,189 999 ₽,1 год,Китай,MacBook Pro,macOS,nan,10,nan,,nan,nan,Apple,nan,nan,nan,,120 Гц,512 ГБ,16 ГБ,nan,nan,алюминий,до 21 часа,2.15 кг
134 999 ₽,159 999,1 год,Китай,nan,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,512 ГБ,8 ГБ,nan,nan,алюминий,до 18 часов,1.24 кг
129 999 ₽,149 999,1 год,Китай,ROG STRIX G17,Windows 11 Домашняя,установлена,8,4800H,AMD Ryzen 7 4800H 2.9 ГГц,Ryzen 7,2.9 ГГц,NVIDIA,GeForce RTX 3060 6GB,6 ГБ,"17.3""(43.9 см)","17.3""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 6 часов,2.7 кг
79 999 ₽,99 999,1 год,Китай,GAMING,не установлена,не установлена,6,11400H,Intel Core i5 11400H 2.4 ГГц,Core i5,2.4 ГГц,NVIDIA,GeForce RTX 3050 Ti 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,16 ГБ,DDR4,1 шт,пластик,до 5 часов,2.5 кг
32 999 ₽,39 999,1 год,Китай,nan,не установлена,не установлена,2,nan,,nan,nan,Intel,UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4,1 шт,пластик,до 6 часов,1.9 кг
nan,17 999 ₽,1 год,Китай,EVE,Windows 10 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics 600,nan,"14""(35.5 см)","14""/1920x1080 пикс.",60 Гц,nan,4 ГБ,DDR4,1 шт,пластик,до 7 часов,1.26 кг
44 999 ₽,49 999,1 год,Китай,IdeaPad 3,Windows 11 Домашняя 64,установлена,2,nan,,nan,nan,Intel,Intel UHD Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,256 ГБ,8 ГБ,DDR4 SO-DIMM,1 шт,пластик,до 7 ч 30 мин,1.85 кг
64 999 ₽,69 999,1 год,Китай,Victus Gaming Laptop PC,Windows 11 Домашняя,установлена,8,12450H,Intel Core i5 12450H 2.0 ГГц,Core i5,2.0 ГГц,NVIDIA,GeForce GTX 1650 4GB,4 ГБ,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",144 Гц,512 ГБ,8 ГБ,DDR4,1 шт,ABS-пластик,до 8 часов,2.29 кг
119 999 ₽,139 999,1 год,Китай,MacBook Pro,macOS,nan,8,nan,,nan,nan,nan,nan,nan,nan,,nan,256 ГБ,8 ГБ,nan,nan,алюминий,до 20 часов,1.4 кг
52 999 ₽,54 999,1 год,Китай,Matebook D 15,Windows 11,установлена,4,nan,,nan,nan,Intel,Intel Iris Xe Graphics,nan,"15.6""(39.6 см)","15.6""/1920x1080 пикс.",nan,512 ГБ,8 ГБ,DDR4,1 шт,металл,до 6 часов,1.56 кг
